,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,,,,,,
1,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
2,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
3,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
4,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
5,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
6,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
7,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
8,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
9,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
10,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
11,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
12,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
13,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
14,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
15,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
16,,,,,,
17,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
18,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
19,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
20,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
21,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
22,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
23,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
24,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
25,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
26,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
27,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
28,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
29,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
30,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
31,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
32,,,,,,
33,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
34,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
35,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
36,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
37,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
38,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
39,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
40,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
41,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
42,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
43,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
44,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
45,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
46,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
47,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
48,,,,,,
49,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
50,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
51,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
52,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
53,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
54,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
55,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
56,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
57,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
58,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
59,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
60,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
61,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
62,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
63,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
64,,,,,,
65,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
66,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
67,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
68,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
69,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
70,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
71,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
72,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
73,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
74,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
75,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
76,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
77,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
78,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
79,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
80,,,,,,
81,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
82,"""Incredibly Blessed"" Inc",49-54-61,842071758,NFP,STATEN ISLAND,NY
83,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
84,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
85,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
86,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
87,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
88,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
89,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
90,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
91,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
92,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
93,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
94,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
95,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
